"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"Fungi";"Basidiomycota";"Tremellomycetes";"Tremellales";"Tremellaceae";"Tremella";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Hymenochaetales_family_incertae_sedis";"Peniophorella";"praetermissa"
"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Acremonium";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Chaetosphaeronema";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";"Laburnicola";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lentitheciaceae";"Pleurophoma";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Teratosphaeriaceae";"Elasticomyces";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";".";".";"."
"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Cladophialophora";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Podosporaceae";"Podospora";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";"Preussia";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";"Paraconiothyrium";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_family_incertae_sedis";"Laetinaevia";"."
"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Rhodotorula";"."
"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Pezizaceae";".";"."
